ID,Fase,Epico,Tarefa,Inicio,Fim,Duracao_Dias,Dependencias,Responsavel,Status
1,Fase 1 - Fundacao,Ambiente,Configurar repositorio e estrutura de solucao,2026-09-01,2026-09-01,1,,Tech Lead,Nao Iniciado
2,Fase 1 - Fundacao,Ambiente,Configurar Docker Compose,2026-09-02,2026-09-03,2,1,DevOps,Nao Iniciado
3,Fase 1 - Fundacao,Ambiente,Configurar CI/CD,2026-09-04,2026-09-07,2,2,DevOps,Nao Iniciado
4,Fase 1 - Fundacao,Ambiente,Configurar logging e monitoramento,2026-09-08,2026-09-08,1,2,DevOps,Nao Iniciado
5,Fase 1 - Fundacao,Base de Dados,Criar schema SQL completo,2026-09-01,2026-09-03,3,,DBA,Nao Iniciado
6,Fase 1 - Fundacao,Base de Dados,Configurar EF Core + Npgsql + PostGIS,2026-09-04,2026-09-08,3,5,Backend,Nao Iniciado
7,Fase 1 - Fundacao,Base de Dados,Criar migrations iniciais,2026-09-09,2026-09-10,2,6,Backend,Nao Iniciado
8,Fase 1 - Fundacao,Base de Dados,Seed de dados de Mocambique,2026-09-11,2026-09-14,2,5,DBA,Nao Iniciado
9,Fase 1 - Fundacao,Base de Dados,Criar views e funcoes auxiliares,2026-09-15,2026-09-16,2,7,DBA,Nao Iniciado
10,Fase 1 - Fundacao,Autenticacao,Implementar Identity/Autenticacao JWT,2026-09-09,2026-09-11,3,,Backend,Nao Iniciado
11,Fase 1 - Fundacao,Autenticacao,Implementar RBAC por perfil,2026-09-12,2026-09-16,3,10,Backend,Nao Iniciado
12,Fase 1 - Fundacao,Autenticacao,Middleware de autorizacao por recurso,2026-09-17,2026-09-18,2,11,Backend,Nao Iniciado
13,Fase 1 - Fundacao,Autenticacao,Gestao de organizacoes (multi-tenant),2026-09-19,2026-09-22,2,12,Backend,Nao Iniciado
14,Fase 2 - Territorial e Projetos,Divisao Administrativa,CRUD de divisoes administrativas,2026-09-23,2026-09-25,3,5,Backend+Frontend,Nao Iniciado
15,Fase 2 - Territorial e Projetos,Divisao Administrativa,Hierarquia recursiva,2026-09-26,2026-09-29,2,14,Backend,Nao Iniciado
16,Fase 2 - Territorial e Projetos,Divisao Administrativa,Importacao de limites administrativos,2026-09-30,2026-10-02,3,15,Backend,Nao Iniciado
17,Fase 2 - Territorial e Projetos,Divisao Administrativa,Visualizacao hierarquica no frontend,2026-10-03,2026-10-06,2,14,Frontend,Nao Iniciado
18,Fase 2 - Territorial e Projetos,Divisao Administrativa,Filtros por zona urbana/rural,2026-10-07,2026-10-07,1,17,Frontend,Nao Iniciado
